uid,sid
106,1605
106,1822
106,1847
106,1860
106,2018
106,2109
106,2564
106,2795
106,3252
106,4524
106,5228
106,5905
106,7478
106,9370
106,10876
106,11808
108,130
108,388
108,409
108,437
108,556
108,979
108,2299
108,2845
108,3239
108,3825
108,4121
108,5538
108,9063
108,9310
108,13365
108,14704
108,15507
119,301
119,355
119,461
119,562
119,771
119,804
119,807
119,857
119,1223
119,1257
119,1260
119,1340
119,1343
119,1363
119,1393
119,1438
119,1485
119,1607
119,1657
119,1723
119,1769
119,1782
119,1805
119,1819
119,1860
119,1872
119,1901
119,2057
119,2109
119,2287
119,2564
119,3601
119,3606
119,4160
119,5232
119,5850
119,7802
119,9281
119,11092
119,11489
119,12239
119,13186
119,14226
119,16717
134,170
134,205
134,553
134,1498
134,6251
134,6259
134,6551
134,9855
134,13769
161,2610
161,3854
161,3954
161,7622
161,14973
185,438
185,1393
185,1921
185,5530
200,276
200,356
200,807
200,866
200,1018
200,1095
200,1127
200,1607
200,1655
200,1657
200,1819
200,1906
200,2109
200,2276
200,3034
200,3377
200,7356
200,7441
200,10804
220,221
220,356
220,807
220,857
220,1068
220,1492
220,1607
220,1695
220,1781
220,1902
220,2537
220,2858
220,3122
220,3267
220,3304
220,3377
220,3484
220,3496
220,3792
220,3977
220,4152
220,4805
220,5228
220,5412
220,5905
220,7084
220,12704
226,67
226,108
226,170
226,282
226,317
226,382
226,388
226,409
226,533
226,556
226,733
226,840
226,897
226,957
226,1345
226,1438
226,1479
226,1648
226,1675
226,1732
226,1768
226,2299
226,2355
226,2561
226,2610
226,2624
226,2673
226,2897
226,3191
226,3198
226,3225
226,3304
226,3484
226,3640
226,3802
226,3912
226,4136
226,4181
226,4282
226,5538
226,6003
226,6343
226,6347
226,7319
226,7715
226,8225
226,9365
226,9855
226,11900
226,12220
226,12239
226,12689
226,14704
226,14828
226,15422
226,15928
226,16020
235,1203
235,1450
235,1738
235,3401
235,3487
235,3558
235,14184
279,40
279,980
279,1656
279,1657
279,1769
279,1799
279,1825
279,2134
279,2795
279,4745
279,7441
279,13284
279,14188
297,61
297,200
297,221
297,299
297,356
297,819
297,875
297,1068
297,1127
297,1343
297,1522
297,1545
297,1607
297,1622
297,1662
297,1708
297,1738
297,1753
297,1761
297,1781
297,1906
297,2033
297,2259
297,2287
297,2488
297,2540
297,2564
297,2970
297,3046
297,3301
297,3304
297,3450
297,3484
297,3524
297,3561
297,3977
297,4527
297,4574
297,4634
297,4727
297,4761
297,5108
297,5228
297,5470
297,5747
297,5905
297,6570
297,7270
297,7682
297,7881
297,7901
297,7963
297,7996
297,9166
297,9558
297,9933
297,10076
297,10610
297,10879
297,11604
297,11874
297,12220
297,12272
301,39
301,40
301,109
301,119
301,148
301,200
301,304
301,356
301,409
301,461
301,857
301,860
301,1127
301,1333
301,1343
301,1422
301,1494
301,1598
301,1607
301,1657
301,1708
301,1715
301,1768
301,1769
301,1781
301,1782
301,1786
301,1798
301,1819
301,1824
301,1860
301,1887
301,1905
301,1906
301,1915
301,1929
301,1993
301,2019
301,2030
301,2109
301,2134
301,2287
301,2381
301,2538
301,2564
301,2793
301,3356
301,3377
301,3484
301,3485
301,3500
301,3525
301,3536
301,4613
301,4691
301,4716
301,4749
301,4848
301,5228
301,5232
301,5530
301,5626
301,5733
301,5746
301,5938
301,7015
301,7084
301,7270
301,7527
301,7563
301,7802
301,8646
301,11092
301,11604
301,13186
301,16710
304,40
304,301
304,356
304,1068
304,1127
304,1203
304,1393
304,1522
304,1607
304,1781
304,1869
304,2109
304,2313
304,2594
304,3484
304,3606
304,3977
304,4497
304,4524
304,5546
304,5733
304,7015
304,7237
304,7307
312,8081
330,103
330,1020
330,1333
330,1361
330,1422
330,1607
330,1657
330,1769
330,1822
330,1829
330,1886
330,1931
330,2103
330,2287
330,2538
330,2540
330,3377
330,3484
330,3579
330,4613
330,4653
330,4957
330,5546
330,5747
330,7563
330,7802
330,7881
330,9777
330,10983
330,12276
330,13284
330,14447
330,16583
355,35
355,58
355,110
355,119
355,186
355,405
355,409
355,557
355,561
355,682
355,745
355,748
355,790
355,807
355,842
355,953
355,957
355,1002
355,1088
355,1107
355,1153
355,1163
355,1203
355,1223
355,1226
355,1257
355,1260
355,1268
355,1340
355,1386
355,1393
355,1657
355,1675
355,1732
355,1805
355,1875
355,1902
355,2000
355,2109
355,2321
355,2341
355,2564
355,2851
355,3228
355,3655
355,4268
355,4312
355,4415
355,4580
355,4805
355,5232
355,5479
355,5563
355,5746
355,6321
355,6570
355,6849
355,7233
355,7957
355,8015
355,10824
355,12394
355,13386
355,13423
355,15507
356,40
356,61
356,109
356,119
356,148
356,200
356,220
356,299
356,461
356,771
356,827
356,857
356,866
356,875
356,980
356,1075
356,1127
356,1260
356,1343
356,1345
356,1393
356,1438
356,1607
356,1662
356,1665
356,1769
356,1781
356,1782
356,1822
356,1827
356,1828
356,1830
356,1906
356,1915
356,1931
356,2000
356,2038
356,2063
356,2366
356,2546
356,2559
356,3034
356,3237
356,3304
356,3496
356,3524
356,4574
356,4611
356,4745
356,4848
356,4856
356,5470
356,5530
356,5546
356,5778
356,6491
356,7270
356,7682
356,8646
356,9281
356,12220
356,12239
356,13037
356,13284
356,14313
356,14447
356,16583
362,44
362,45
362,67
362,150
362,205
362,316
362,361
362,464
362,849
362,1732
362,2299
362,2624
362,3722
362,4961
362,9231
362,11753
404,356
404,807
404,897
404,957
404,1107
404,1203
404,1226
404,1613
404,1768
404,1805
404,1906
404,2085
404,2189
404,2389
404,2952
404,3225
404,3377
404,3401
404,3500
404,3793
404,3802
404,4574
404,4806
404,5228
404,5288
404,5546
404,5905
404,7959
404,7995
404,8646
404,10151
404,10739
404,12220
404,13386
404,14528
404,14673
409,108
409,461
409,745
409,979
409,1002
409,1036
409,1107
409,1153
409,1203
409,1223
409,1226
409,1260
409,1498
409,1512
409,1675
409,1732
409,1805
409,2057
409,2299
409,2355
409,2846
409,3267
409,3568
409,3672
409,3912
409,4152
409,4218
409,6003
409,6065
409,6849
409,7082
409,9281
409,11984
409,13365
437,108
437,772
437,800
437,804
437,827
437,857
437,875
437,953
437,1068
437,1127
437,1333
437,1422
437,1455
437,1522
437,1541
437,1601
437,1662
437,1675
437,1708
437,1723
437,1739
437,1782
437,1822
437,1829
437,1906
437,1935
437,1973
437,2057
437,2413
437,2537
437,2540
437,2793
437,2795
437,3304
437,3377
437,3496
437,3792
437,3912
437,4152
437,4499
437,4745
437,4804
437,4867
437,5273
437,5279
437,5470
437,5546
437,5729
437,5733
437,6264
437,6321
437,6630
437,7057
437,7649
437,9281
437,10856
437,10876
437,11092
437,12239
437,13284
437,14447
461,119
461,200
461,356
461,409
461,562
461,772
461,804
461,807
461,876
461,1036
461,1203
461,1220
461,1223
461,1333
461,1340
461,1343
461,1422
461,1492
461,1607
461,1657
461,1708
461,1769
461,1827
461,1887
461,1902
461,1906
461,1929
461,2030
461,2038
461,2070
461,2102
461,2109
461,2287
461,2556
461,2561
461,2793
461,3046
461,3450
461,3484
461,3485
461,3524
461,3584
461,3825
461,4152
461,4160
461,4613
461,4957
461,5228
461,5232
461,5530
461,5626
461,5733
461,7015
461,7440
461,7830
461,7881
461,8646
461,10343
461,11489
461,11816
461,11984
461,12185
461,12863
461,13165
461,14447
461,16583
473,2610
473,11291
533,23
533,130
533,137
533,163
533,388
533,497
533,626
533,831
533,892
533,957
533,1675
533,2299
533,2355
533,2385
533,2581
533,3186
533,3750
533,3825
533,3890
533,3958
533,4064
533,4181
533,4514
533,4966
533,5254
533,5913
533,6213
533,6251
533,7082
533,8178
533,8283
533,9231
533,11484
533,11984
533,12590
533,12675
533,13657
533,14430
533,14828
553,88
553,95
553,161
553,163
553,556
553,866
553,897
553,979
553,1107
553,1203
553,1260
553,1438
553,1455
553,1498
553,1675
553,1732
553,1819
553,1822
553,1860
553,1906
553,1921
553,2000
553,2299
553,2321
553,2366
553,2624
553,2696
553,3183
553,3225
553,3252
553,3401
553,3500
553,3672
553,3802
553,3825
553,3833
553,3864
553,4125
553,4152
553,4181
553,4440
553,4848
553,4890
553,5002
553,5228
553,5538
553,6102
553,6251
553,6321
553,6629
553,6888
553,6979
553,7082
553,7715
553,9063
553,9281
553,9310
553,12184
553,13284
553,13444
553,14447
553,14673
553,14704
553,16583
556,95
556,108
556,170
556,226
556,409
556,461
556,733
556,897
556,901
556,1036
556,1088
556,1437
556,1675
556,1732
556,2299
556,2355
556,2366
556,2624
556,2846
556,3225
556,3777
556,3912
556,4125
556,4152
556,4308
556,4890
556,5067
556,6328
556,7131
556,7715
556,12445
556,17040
562,119
562,461
562,1257
562,1393
562,1527
562,1570
562,1607
562,1657
562,1866
562,1973
562,3525
562,5232
562,7970
562,8646
562,13037
562,16661
626,19
626,380
626,461
626,533
626,639
626,1732
626,2299
626,2610
626,3640
626,3725
626,3795
626,3912
626,3917
626,3984
626,4064
626,4147
626,4181
626,5913
626,6003
626,9231
626,14828
647,19
647,163
647,170
647,2318
647,2624
647,3206
647,3954
647,6225
647,6251
647,6343
647,11504
647,12185
647,16180
733,67
733,95
733,108
733,163
733,205
733,409
733,461
733,533
733,556
733,716
733,831
733,957
733,1036
733,1071
733,1107
733,1226
733,1675
733,1732
733,2299
733,2612
733,2624
733,2673
733,2736
733,3777
733,3802
733,3912
733,4152
733,4181
733,4574
733,4899
733,5538
733,5914
733,6003
733,6343
733,6347
733,6358
733,6629
733,10569
733,12445
733,15238
733,16269
733,17198
738,67
738,161
738,170
738,388
738,920
738,979
738,1036
738,1675
738,2000
738,2165
738,2624
738,3239
738,3688
738,3795
738,3971
738,4246
738,5538
738,6306
738,6363
738,6596
738,8972
738,9281
738,9370
738,12211
738,17198
747,1374
747,2740
747,4215
747,4559
747,6849
747,11886
763,2156
763,4925
767,860
767,1020
767,2019
767,2074
767,2102
767,3377
767,3525
767,3579
767,5787
767,7469
767,7563
767,8646
772,40
772,62
772,119
772,301
772,807
772,860
772,861
772,980
772,1068
772,1768
772,1819
772,1869
772,1887
772,1902
772,1915
772,1973
772,2030
772,2035
772,2038
772,2045
772,2063
772,2079
772,2102
772,2107
772,2109
772,2134
772,2463
772,2559
772,2564
772,2577
772,2578
772,3228
772,3304
772,3377
772,3450
772,3485
772,3525
772,3579
772,3584
772,3601
772,4160
772,4613
772,4653
772,4660
772,4855
772,4882
772,4883
772,4957
772,5228
772,5626
772,5787
772,5865
772,7082
772,7553
772,7568
772,9281
772,11092
772,11984
772,12239
772,13084
772,13174
772,13284
772,14226
772,14447
772,15744
772,16583
772,16680
789,10408
793,1330
793,1665
793,1782
793,1906
793,2561
793,2594
793,2786
793,3004
793,3237
793,3606
793,4524
793,5546
793,5566
793,5691
793,6105
793,7450
793,12875
793,14978
804,119
804,437
804,461
804,1019
804,1257
804,1260
804,1333
804,1361
804,1393
804,1438
804,1527
804,1683
804,1768
804,1769
804,1782
804,1801
804,1819
804,1860
804,1869
804,1887
804,1906
804,1973
804,1989
804,2001
804,2023
804,2030
804,2035
804,2045
804,2063
804,2074
804,2109
804,2124
804,2133
804,2540
804,2554
804,2559
804,2561
804,2775
804,2799
804,3304
804,3523
804,3525
804,3579
804,3601
804,3606
804,4613
804,4855
804,4867
804,4957
804,5228
804,5626
804,7015
804,7084
804,7247
804,7440
804,7538
804,7830
804,10935
804,10973
804,11489
804,11984
804,12239
804,13245
804,14226
804,14447
807,62
807,119
807,200
807,355
807,404
807,562
807,772
807,857
807,866
807,897
807,1075
807,1203
807,1223
807,1257
807,1333
807,1343
807,1438
807,1769
807,1772
807,1827
807,1828
807,1887
807,2030
807,2109
807,2287
807,2366
807,2463
807,2520
807,2559
807,2564
807,2574
807,2618
807,3252
807,3304
807,3383
807,3484
807,4499
807,4856
807,5228
807,5530
807,5850
807,6570
807,7082
807,7568
807,7682
807,8646
807,10935
807,11489
807,11984
807,13284
807,16583
827,437
827,1036
827,1053
827,1127
827,1438
827,1662
827,1906
827,2254
827,2461
827,3484
827,3487
827,3792
827,5875
827,7682
827,10151
827,10801
827,10894
827,12220
827,13020
827,14367
844,1561
844,1657
844,1782
844,4856
844,5905
844,11816
855,562
855,1018
855,1036
855,1068
855,1260
855,1455
855,2058
855,3046
855,3397
855,7563
855,12185
855,13165
855,15949
857,40
857,41
857,61
857,119
857,147
857,200
857,221
857,356
857,437
857,461
857,807
857,875
857,953
857,1127
857,1203
857,1340
857,1343
857,1345
857,1393
857,1438
857,1522
857,1541
857,1545
857,1607
857,1657
857,1751
857,1769
857,1781
857,1819
857,1860
857,1872
857,1929
857,2018
857,2109
857,2259
857,2276
857,2413
857,2540
857,2556
857,2858
857,3013
857,3252
857,3484
857,3496
857,4504
857,4524
857,4527
857,4691
857,4727
857,5228
857,5729
857,5746
857,5747
857,5905
857,7015
857,7084
857,7270
857,7563
857,7901
857,10876
857,10935
857,10983
857,11092
857,12239
857,13037
857,13165
857,13186
857,14447
857,16583
857,17501
859,57
859,772
859,860
859,1220
859,1333
859,1758
859,1825
859,1931
859,1991
859,2018
859,2035
859,2067
859,3223
859,3377
859,3450
859,4106
859,4653
859,7084
859,7141
859,7469
859,7563
859,10078
859,15744
859,15769
859,16717
860,62
860,119
860,767
860,772
860,1333
860,1361
860,1825
860,1869
860,1906
860,2018
860,2033
860,2035
860,2045
860,2079
860,2099
860,2107
860,2109
860,2133
860,2864
860,3377
860,3484
860,3525
860,3579
860,3601
860,4613
860,4875
860,4883
860,5228
860,5787
860,7082
860,7469
860,7563
860,7568
860,8646
860,11250
860,11984
860,12239
860,13084
860,14226
860,14447
860,15744
860,16020
861,772
861,859
861,860
861,1333
861,1768
861,1915
861,2018
861,2073
861,2099
861,2137
861,3377
861,3525
861,4659
861,5822
861,7440
861,7568
862,1333
863,892
863,2318
863,4068
863,5789
863,7622
863,12780
863,15172
866,35
866,60
866,98
866,110
866,186
866,200
866,356
866,550
866,807
866,957
866,1127
866,1166
866,1195
866,1297
866,1343
866,1361
866,1438
866,1607
866,1768
866,1827
866,1935
866,1989
866,2000
866,2366
866,2390
866,2561
866,2564
866,2618
866,2758
866,3322
866,3377
866,3383
866,3568
866,3792
866,3912
866,4200
866,4308
866,4539
866,4654
866,4687
866,4890
866,5029
866,5128
866,5228
866,5303
866,5412
866,6003
866,6128
866,6321
866,7057
866,7595
866,7829
866,7958
866,8051
866,8563
866,9281
866,10801
866,12184
866,13365
866,13386
866,13995
866,14447
866,14810
866,17322
876,40
876,61
876,109
876,119
876,329
876,461
876,772
876,804
876,1127
876,1223
876,1249
876,1257
876,1343
876,1363
876,1607
876,1850
876,2034
876,2067
876,2102
876,2109
876,2520
876,2864
876,4805
876,4855
876,4882
876,11489
876,11816
884,67
884,640
884,2299
884,2654
884,6237
897,461
897,533
897,807
897,978
897,1035
897,1107
897,1147
897,1160
897,1203
897,1333
897,1498
897,1512
897,1522
897,1732
897,2000
897,2057
897,2299
897,2355
897,2366
897,2740
897,2758
897,2845
897,3186
897,3225
897,3322
897,3688
897,3777
897,3825
897,3833
897,3912
897,4181
897,4890
897,5029
897,5273
897,5668
897,6003
897,6321
897,6343
897,6422
897,7057
897,7715
897,7805
897,9413
897,10801
897,11092
897,11874
897,11900
897,12012
897,12731
897,13136
897,13186
897,13365
897,14447
897,14828
897,15422
897,17198
945,328
945,329
945,355
945,957
945,1203
945,1234
945,1376
945,1405
945,1427
945,1438
945,1442
945,1444
945,1492
945,1607
945,1768
945,1805
945,1819
945,1906
945,2321
945,2564
945,2827
945,3252
945,3304
945,3345
945,3431
945,3484
945,3500
945,3912
945,4602
945,4654
945,5188
945,5228
945,5412
945,5693
945,5721
945,5746
945,6101
945,6629
945,6954
945,10801
945,11545
945,13492
945,13552
945,15928
945,16462
945,16710
947,2564
947,9855
953,355
953,437
953,807
953,857
953,1036
953,1075
953,1203
953,1422
953,1492
953,1603
953,1607
953,1805
953,1822
953,1829
953,1860
953,1906
953,2018
953,2520
953,2540
953,2556
953,2559
953,2561
953,2564
953,2726
953,3046
953,3122
953,3252
953,3304
953,3419
953,3484
953,3558
953,3568
953,3584
953,3599
953,3606
953,3825
953,3977
953,4218
953,4462
953,4613
953,4691
953,4968
953,5228
953,5232
953,5273
953,5470
953,5546
953,5746
953,5747
953,5905
953,6191
953,7015
953,7203
953,7233
953,10745
953,10876
953,10935
953,11092
953,12220
953,12239
953,13392
953,16583
955,979
955,1002
955,1203
955,1260
955,2355
955,2787
955,3912
955,4654
955,4890
955,4899
955,10569
955,11626
955,15217
977,840
977,1049
977,1675
977,3640
977,7862
979,108
979,409
979,437
979,461
979,1088
979,1107
979,1203
979,1393
979,1422
979,2355
979,2564
979,2846
979,3214
979,3568
979,3825
979,4660
979,12184
979,12731
980,103
980,279
980,860
980,1036
980,1041
980,1127
980,1393
980,1657
980,1825
980,1844
980,2035
980,2038
980,3206
980,3237
980,3252
980,4193
980,4848
980,6629
980,9633
980,10058
980,12239
980,12435
980,13365
986,807
986,1769
986,1860
986,1929
986,1979
986,2793
986,4654
986,11092
986,12731
1002,98
1002,130
1002,196
1002,355
1002,381
1002,409
1002,716
1002,955
1002,978
1002,1035
1002,1107
1002,1153
1002,1166
1002,1257
1002,1393
1002,1492
1002,1498
1002,2000
1002,2197
1002,2322
1002,2327
1002,2341
1002,2355
1002,3568
1002,3672
1002,3792
1002,4266
1002,5002
1002,5446
1002,5948
1002,6321
1002,6629
1002,7082
1002,9418
1002,9621
1002,10683
1002,11626
1002,12184
1002,12211
1002,12517
1002,12731
1002,15399
1019,40
1019,62
1019,119
1019,299
1019,301
1019,356
1019,771
1019,804
1019,857
1019,1036
1019,1260
1019,1607
1019,1711
1019,1769
1019,1860
1019,1915
1019,1929
1019,2109
1019,2456
1019,2556
1019,3252
1019,3377
1019,3450
1019,3601
1019,4613
1019,4882
1019,4957
1019,5546
1019,5626
1019,6954
1019,7440
1019,9281
1019,11092
1019,13037
1019,16661
1019,17564
1020,61
1020,119
1020,330
1020,767
1020,772
1020,860
1020,862
1020,876
1020,1257
1020,1333
1020,1361
1020,1768
1020,1801
1020,1999
1020,2135
1020,2559
1020,2561
1020,2564
1020,3304
1020,3450
1020,3496
1020,3525
1020,3792
1020,4519
1020,4524
1020,4613
1020,4659
1020,4855
1020,4856
1020,4883
1020,5228
1020,5530
1020,5778
1020,5787
1020,7563
1020,8646
1020,9281
1020,13245
1020,14226
1020,16717
1062,343
1062,521
1062,866
1062,1260
1062,1361
1062,1921
1062,2390
1062,2950
1062,3345
1062,3792
1062,4580
1062,5228
1062,5277
1062,9078
1062,13289
1062,17255
1068,304
1068,957
1068,1333
1068,1393
1068,1607
1068,1723
1068,1782
1068,2070
1068,3496
1068,4855
1068,7270
1070,980
1070,1906
1070,7015
1075,294
1075,356
1075,807
1075,953
1075,1036
1075,1068
1075,1226
1075,1340
1075,1657
1075,1781
1075,3252
1075,3304
1075,5905
1075,7233
1075,11984
1075,16583
1082,10352
1088,461
1088,978
1088,979
1088,997
1088,1036
1088,1107
1088,1159
1088,1203
1088,1251
1088,1498
1088,1512
1088,1732
1088,2624
1088,2846
1088,3205
1088,3802
1088,3825
1088,4015
1088,4152
1088,4562
1088,5029
1088,7802
1088,8579
1088,11984
1088,12184
1088,13444
1088,17198
1099,1422
1099,2574
1104,103
1104,2366
1104,3792
1104,5530
1104,9855
1104,13444
1104,15399
1107,35
1107,98
1107,409
1107,461
1107,682
1107,745
1107,748
1107,897
1107,979
1107,1002
1107,1035
1107,1036
1107,1078
1107,1088
1107,1153
1107,1168
1107,1175
1107,1223
1107,1226
1107,1349
1107,1437
1107,1732
1107,2000
1107,2078
1107,2198
1107,2341
1107,2845
1107,2846
1107,3213
1107,3568
1107,3672
1107,3710
1107,4856
1107,5228
1107,5446
1107,6492
1107,6754
1107,7082
1107,7802
1107,7835
1107,7958
1107,8563
1107,9281
1107,9793
1107,10683
1107,12731
1107,13365
1107,14771
1107,16155
1108,186
1108,1035
1108,1405
1108,3793
1108,5228
1108,5413
1108,5746
1108,10327
1111,875
1111,1825
1111,1829
1111,2027
1111,2276
1111,4499
1111,5546
1111,7270
1111,13165
1117,438
1117,553
1117,1107
1117,2740
1117,4125
1117,4654
1117,4856
1117,9281
1117,9397
1117,10569
1117,11512
1124,866
1127,398
1127,404
1127,437
1127,461
1127,807
1127,827
1127,866
1127,980
1127,1036
1127,1203
1127,1343
1127,1345
1127,1479
1127,1492
1127,1522
1127,1541
1127,1561
1127,1655
1127,1657
1127,1665
1127,1677
1127,1732
1127,1768
1127,1804
1127,1887
1127,1906
1127,1935
1127,2070
1127,2143
1127,2355
1127,2381
1127,2389
1127,2513
1127,2559
1127,2561
1127,2564
1127,2846
1127,2970
1127,3235
1127,3252
1127,3267
1127,3304
1127,3383
1127,3401
1127,3484
1127,3496
1127,3524
1127,3558
1127,3606
1127,3912
1127,4574
1127,4654
1127,4804
1127,5228
1127,5546
1127,6506
1127,7307
1127,7333
1127,9933
1127,10343
1127,14447
1127,14528
1127,16809
1132,3825
1132,13287
1132,14923
1140,355
1140,1260
1140,1393
1140,2456
1140,3046
1140,3484
1140,4969
1140,12258
1140,13284
1143,98
1143,110
1143,343
1143,416
1143,682
1143,842
1143,866
1143,998
1143,1014
1143,1203
1143,1234
1143,1257
1143,1297
1143,1510
1143,1902
1143,2000
1143,2070
1143,2355
1143,2846
1143,2952
1143,3034
1143,3260
1143,3792
1143,4440
1143,5228
1143,5530
1143,5930
1143,9643
1143,14528
1143,15507
1160,40
1160,62
1160,98
1160,200
1160,301
1160,356
1160,437
1160,860
1160,875
1160,897
1160,980
1160,1107
1160,1181
1160,1340
1160,1393
1160,1657
1160,1781
1160,1786
1160,1825
1160,1860
1160,1921
1160,1931
1160,2063
1160,2099
1160,2107
1160,2109
1160,2137
1160,2259
1160,2487
1160,2556
1160,2564
1160,2577
1160,2795
1160,2858
1160,3377
1160,3579
1160,3583
1160,4396
1160,4499
1160,4653
1160,4805
1160,4843
1160,4848
1160,4856
1160,4957
1160,5228
1160,5747
1160,5822
1160,6781
1160,7082
1160,9063
1160,9501
1160,10364
1160,10876
1160,11225
1160,12974
1160,13284
1160,14704
1160,17138
1203,119
1203,409
1203,461
1203,807
1203,857
1203,860
1203,953
1203,1068
1203,1127
1203,1223
1203,1257
1203,1260
1203,1343
1203,1492
1203,1498
1203,1522
1203,1607
1203,1675
1203,1906
1203,2070
1203,2109
1203,2366
1203,2559
1203,2561
1203,2564
1203,3377
1203,3450
1203,3484
1203,3524
1203,3825
1203,4152
1203,4613
1203,5232
1203,5530
1203,6570
1203,6954
1203,9281
1203,11092
1203,11984
1203,12239
1214,356
1214,1108
1214,1143
1214,1203
1214,1648
1214,1683
1214,2843
1214,2862
1214,3484
1214,4504
1214,5555
1214,6570
1219,40
1219,61
1219,1351
1219,1469
1219,1715
1219,1906
1219,2074
1219,2124
1219,3377
1219,3523
1219,4613
1219,4883
1219,7509
1219,13125
1219,14226
1219,15164
1219,15744
1220,62
1220,2001
1220,2035
1220,2099
1220,3525
1220,4613
1220,4957
1223,119
1223,196
1223,294
1223,409
1223,461
1223,807
1223,867
1223,901
1223,1036
1223,1085
1223,1107
1223,1203
1223,1226
1223,1251
1223,1333
1223,1405
1223,1510
1223,1607
1223,1657
1223,1801
1223,2321
1223,2582
1223,3214
1223,3833
1223,4269
1223,4311
1223,4654
1223,5479
1223,6064
1223,6086
1223,6321
1223,6763
1223,6954
1223,9281
1223,9518
1223,9621
1223,11044
1223,11092
1223,13538
1223,14447
1223,17030
1245,196
1245,455
1245,1166
1245,1197
1245,1361
1245,1374
1245,1393
1245,1438
1245,2070
1245,3792
1245,4440
1245,6570
1245,7771
1245,14810
1245,15507
1245,15819
1245,16020
1246,5691
1246,6070
1246,6491
1246,7829
1246,7864
1249,40
1249,103
1249,301
1249,461
1249,804
1249,807
1249,866
1249,953
1249,1068
1249,1422
1249,1438
1249,1607
1249,1657
1249,1768
1249,1769
1249,1782
1249,1801
1249,1819
1249,1872
1249,1886
1249,1887
1249,1906
1249,1920
1249,1929
1249,1965
1249,1999
1249,2019
1249,2025
1249,2038
1249,2045
1249,2109
1249,2124
1249,2513
1249,2775
1249,2799
1249,3237
1249,3252
1249,3347
1249,3377
1249,3525
1249,3579
1249,4099
1249,4613
1249,4829
1249,4856
1249,5232
1249,5546
1249,5626
1249,7535
1249,7553
1249,11489
1249,11984
1249,12239
1249,13136
1249,14226
1256,1245
1256,1675
1256,1732
1256,2018
1256,2561
1256,3496
1256,5787
1256,8646
1256,12220
1257,110
1257,119
1257,1203
1257,1297
1257,1657
1257,1768
1257,1844
1257,1901
1257,2073
1257,2463
1257,2864
1257,3793
1257,4440
1257,4574
1257,4654
1257,5412
1257,5563
1257,7148
1257,12250
1257,16016
1260,119
1260,356
1260,409
1260,461
1260,804
1260,1035
1260,1068
1260,1075
1260,1203
1260,1257
1260,1343
1260,1492
1260,1498
1260,1522
1260,1657
1260,1662
1260,1723
1260,1875
1260,1901
1260,1918
1260,2023
1260,2057
1260,2355
1260,2366
1260,2381
1260,2538
1260,2540
1260,2541
1260,2561
1260,2562
1260,2564
1260,2624
1260,3267
1260,3377
1260,3450
1260,3524
1260,3525
1260,3568
1260,3912
1260,4015
1260,4152
1260,4160
1260,4193
1260,4499
1260,4613
1260,4848
1260,5546
1260,5746
1260,5778
1260,6321
1260,9281
1260,11489
1260,13037
1260,13125
1260,13165
1260,13186
1260,13284
1260,16583
1261,16509
1297,35
1297,343
1297,461
1297,682
1297,842
1297,866
1297,1014
1297,1143
